saison,href,score_equipe_home,score_equipe_away,Possession_de_balle_home,Possession_de_balle_away,Tirs_au_but_home,Tirs_au_but_away,Tirs_cadrés_home,Tirs_cadrés_away,Tirs_non_cadrés_home,Tirs_non_cadrés_away,Tirs_bloqués_home,Tirs_bloqués_away,Corners_home,Corners_away,Sauvetages_du_gardien_home,Sauvetages_du_gardien_away,Coup_francs_home,Coup_francs_away,Hors-jeu_home,Hors-jeu_away,Fautes_home,Fautes_away,Cartons_Jaunes_home,Cartons_Jaunes_away,Passes_home,Passes_away,Cartons_Rouges_home,Cartons_Rouges_away,score_mi_temps_home,score_mi_temps_away,resultat
2021-2022,https://www.flashscore.fr/match/dApU6hci/#/resume-du-match,1,0,0.51,0.49,7.0,4.0,2.0,0.0,4.0,2.0,1.0,2.0,5.0,0.0,0.0,1.0,7.0,4.0,2.0,0.0,2.0,7.0,0.0,0.0,0.82,0.79,0.0,0.0,1,0,-1
2021-2022,https://www.flashscore.fr/match/4Gcrqk5p/#/resume-du-match,3,0,0.61,0.39,6.0,8.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,0.0,13.0,3.0,1.0,4.0,2.0,5.0,1.0,2.0,0.92,0.8,0.0,0.0,1,0,-1
2021-2022,https://www.flashscore.fr/match/r7dnr9Kj/#/resume-du-match,1,0,0.45,0.55,3.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,12.0,11.0,1.0,1.0,7.0,7.0,0.0,2.0,0.72,0.75,0.0,0.0,1,0,-1
2021-2022,https://www.flashscore.fr/match/MefJlBsN/#/resume-du-match,0,0,0.52,0.48,3.0,5.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,3.0,0.0,1.0,7.0,7.0,1.0,3.0,6.0,4.0,3.0,0.0,0.82,0.78,0.0,0.0,0,0,0
2021-2022,https://www.flashscore.fr/match/W616iDc4/#/resume-du-match,0,2,0.52,0.48,7.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,1.0,6.0,6.0,0.0,0.0,0.85,0.84,0.0,0.0,0,0,1
2021-2022,https://www.flashscore.fr/match/OtbbgZSi/#/resume-du-match,0,1,0.52,0.48,4.0,8.0,2.0,2.0,0.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,6.0,10.0,0.0,3.0,10.0,3.0,0.0,1.0,0.88,0.85,0.0,1.0,0,1,1
2021-2022,https://www.flashscore.fr/match/SYfFkiSG/#/resume-du-match,2,4,0.54,0.46,5.0,5.0,0.0,4.0,4.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,9.0,7.0,2.0,3.0,5.0,6.0,2.0,1.0,0.84,0.82,0.0,0.0,0,3,1
2021-2022,https://www.flashscore.fr/match/hG22hgrb/#/resume-du-match,1,4,0.45,0.55,3.0,6.0,0.0,3.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,9.0,6.0,0.0,2.0,6.0,7.0,1.0,1.0,0.85,0.88,0.0,0.0,0,1,1
2021-2022,https://www.flashscore.fr/match/hjJBJVtc/#/resume-du-match,1,1,0.65,0.35,5.0,5.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,0.0,1.0,4.0,3.0,0.0,0.0,0.25,0.67,0.0,0.0,0,1,0
2021-2022,https://www.flashscore.fr/match/WSxs4jsA/#/resume-du-match,3,1,0.67,0.33,10.0,5.0,4.0,2.0,5.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,5.0,8.0,1.0,0.0,8.0,4.0,0.0,0.0,0.87,0.74,0.0,0.0,2,1,-1
2021-2022,https://www.flashscore.fr/match/rLyLd8Zq/#/resume-du-match,0,1,0.44,0.56,4.0,8.0,2.0,3.0,1.0,2.0,1.0,3.0,4.0,5.0,2.0,2.0,6.0,8.0,1.0,0.0,7.0,6.0,0.0,1.0,0.79,0.85,0.0,0.0,0,1,1
2021-2022,https://www.flashscore.fr/match/GYZSfn4d/#/resume-du-match,6,1,0.74,0.26,10.0,1.0,4.0,0.0,6.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,3.0,5.0,1.0,1.0,5.0,5.0,0.0,1.0,0.9,0.76,0.0,0.0,3,0,-1
2021-2022,https://www.flashscore.fr/match/02so3AdG/#/resume-du-match,0,0,0.48,0.52,2.0,9.0,0.0,4.0,1.0,3.0,1.0,2.0,2.0,3.0,4.0,0.0,5.0,2.0,0.0,2.0,4.0,9.0,1.0,1.0,0.83,0.82,0.0,0.0,0,0,0
2021-2022,https://www.flashscore.fr/match/hxvw5WR3/#/resume-du-match,0,2,0.43,0.57,5.0,6.0,2.0,2.0,3.0,3.0,0.0,1.0,2.0,4.0,0.0,2.0,4.0,10.0,0.0,2.0,10.0,4.0,3.0,0.0,0.74,0.81,0.0,2.0,0,2,1
2021-2022,https://www.flashscore.fr/match/ADlY5CCc/#/resume-du-match,1,0,0.68,0.32,4.0,3.0,1.0,0.0,1.0,3.0,2.0,0.0,3.0,1.0,0.0,0.0,6.0,9.0,1.0,0.0,7.0,7.0,2.0,1.0,0.88,0.73,0.0,0.0,1,0,-1
2021-2022,https://www.flashscore.fr/match/xryPeSlj/#/resume-du-match,0,0,0.32,0.68,1.0,4.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,1.0,1.0,1.0,4.0,6.0,0.0,0.0,6.0,4.0,0.0,2.0,0.7,0.89,0.0,0.0,0,0,0
2021-2022,https://www.flashscore.fr/match/vgtk2UBM/#/resume-du-match,2,1,0.64,0.36,9.0,2.0,3.0,0.0,5.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,8.0,4.0,0.0,2.0,5.0,7.0,0.0,1.0,0.88,0.81,0.0,0.0,1,0,-1
2021-2022,https://www.flashscore.fr/match/W4dbAR3q/#/resume-du-match,1,1,0.34,0.66,5.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,5.0,9.0,0.0,1.0,9.0,4.0,1.0,0.0,0.84,0.87,0.0,0.0,0,0,0
2021-2022,https://www.flashscore.fr/match/Q3HJH9B9/#/resume-du-match,0,0,0.6,0.4,6.0,2.0,2.0,0.0,3.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,9.0,5.0,3.0,0.0,6.0,10.0,2.0,2.0,0.74,0.66,0.0,1.0,0,0,0
2021-2022,https://www.flashscore.fr/match/6NlB7Pm2/#/resume-du-match,1,0,0.45,0.55,7.0,5.0,1.0,1.0,3.0,4.0,3.0,0.0,1.0,3.0,1.0,1.0,5.0,7.0,0.0,1.0,7.0,4.0,3.0,1.0,0.82,0.84,0.0,0.0,0,0,-1
2021-2022,https://www.flashscore.fr/match/KQxgW8Q2/#/resume-du-match,1,0,0.52,0.48,3.0,6.0,0.0,2.0,2.0,4.0,1.0,0.0,2.0,1.0,2.0,0.0,9.0,5.0,1.0,2.0,4.0,7.0,0.0,2.0,0.85,0.87,0.0,0.0,0,0,-1
2021-2022,https://www.flashscore.fr/match/hKp785Ye/#/resume-du-match,2,4,0.24,0.76,1.0,6.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,7.0,2.0,0.0,4.0,9.0,1.0,0.0,9.0,4.0,1.0,0.0,0.68,0.87,0.0,0.0,1,1,1
2021-2022,https://www.flashscore.fr/match/0M9WE7eS/#/resume-du-match,1,2,0.6,0.4,4.0,6.0,0.0,2.0,3.0,3.0,1.0,1.0,6.0,3.0,2.0,0.0,7.0,7.0,1.0,1.0,6.0,6.0,2.0,2.0,0.84,0.77,0.0,0.0,0,0,1
2021-2022,https://www.flashscore.fr/match/MVASFmtM/#/resume-du-match,1,2,0.4,0.6,4.0,8.0,1.0,0.0,2.0,5.0,1.0,3.0,0.0,3.0,0.0,1.0,6.0,3.0,1.0,1.0,2.0,5.0,0.0,0.0,0.81,0.88,0.0,0.0,0,0,1
2021-2022,https://www.flashscore.fr/match/WtIFIkd3/#/resume-du-match,2,3,0.51,0.49,7.0,4.0,1.0,1.0,3.0,3.0,3.0,0.0,5.0,3.0,0.0,1.0,7.0,4.0,1.0,2.0,4.0,5.0,3.0,1.0,0.76,0.72,0.0,0.0,0,1,1
2021-2022,https://www.flashscore.fr/match/v7LNGTQF/#/resume-du-match,3,2,0.66,0.34,6.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,13.0,3.0,1.0,3.0,2.0,10.0,0.0,0.0,0.88,0.78,0.0,0.0,1,0,-1
2021-2022,https://www.flashscore.fr/match/Aee29oJk/#/resume-du-match,5,1,0.76,0.24,10.0,1.0,4.0,0.0,4.0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,10.0,5.0,1.0,1.0,4.0,9.0,0.0,1.0,0.93,0.82,0.0,0.0,2,0,-1
2021-2022,https://www.flashscore.fr/match/6NAtN4mk/#/resume-du-match,6,2,0.47,0.53,11.0,6.0,6.0,4.0,4.0,2.0,1.0,0.0,2.0,2.0,2.0,4.0,11.0,8.0,1.0,0.0,7.0,12.0,1.0,3.0,0.77,0.78,0.0,0.0,2,2,-1
2021-2022,https://www.flashscore.fr/match/hvDhK2X7/#/resume-du-match,2,3,0.32,0.68,5.0,9.0,2.0,5.0,3.0,3.0,0.0,1.0,1.0,3.0,3.0,2.0,4.0,8.0,2.0,0.0,6.0,4.0,1.0,0.0,0.74,0.86,0.0,0.0,0,2,1
2021-2022,https://www.flashscore.fr/match/l6U9SQPR/#/resume-du-match,1,6,0.33,0.67,4.0,5.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,5.0,5.0,2.0,3.0,2.0,2.0,0.0,0.0,0.82,0.92,0.0,0.0,1,2,1
2021-2022,https://www.flashscore.fr/match/GhW1UneF/#/resume-du-match,3,1,0.6,0.4,7.0,4.0,2.0,2.0,4.0,0.0,1.0,2.0,3.0,4.0,1.0,2.0,9.0,8.0,1.0,1.0,7.0,8.0,1.0,2.0,0.79,0.71,0.0,0.0,0,1,-1
2021-2022,https://www.flashscore.fr/match/EmElLrI1/#/resume-du-match,2,1,0.59,0.41,7.0,2.0,2.0,1.0,3.0,0.0,2.0,1.0,7.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,5.0,4.0,1.0,0.0,0.82,0.77,0.0,0.0,1,1,-1
2021-2022,https://www.flashscore.fr/match/fqV5T6AL/#/resume-du-match,1,1,0.56,0.44,6.0,8.0,2.0,3.0,1.0,4.0,3.0,1.0,1.0,5.0,2.0,2.0,6.0,4.0,1.0,0.0,3.0,6.0,0.0,1.0,0.79,0.72,0.0,0.0,0,1,0
2021-2022,https://www.flashscore.fr/match/bHycVSu9/#/resume-du-match,1,1,0.34,0.66,8.0,5.0,2.0,1.0,5.0,3.0,1.0,1.0,5.0,3.0,1.0,2.0,10.0,7.0,0.0,5.0,8.0,5.0,1.0,1.0,0.75,0.86,0.0,0.0,0,0,0
2021-2022,https://www.flashscore.fr/match/ObLyOpYr/#/resume-du-match,3,0,0.33,0.67,2.0,12.0,0.0,6.0,1.0,3.0,1.0,3.0,1.0,5.0,6.0,0.0,6.0,6.0,1.0,0.0,5.0,7.0,1.0,2.0,0.71,0.9,1.0,0.0,0,0,-1
2021-2022,https://www.flashscore.fr/match/fqiyqnA8/#/resume-du-match,1,1,0.5,0.5,6.0,7.0,2.0,1.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,7.0,11.0,1.0,0.0,10.0,7.0,0.0,0.0,0.81,0.81,0.0,0.0,1,0,0
2021-2022,https://www.flashscore.fr/match/pE9pMO2e/#/resume-du-match,2,0,0.61,0.39,6.0,4.0,3.0,1.0,2.0,0.0,1.0,3.0,0.0,6.0,1.0,1.0,5.0,6.0,1.0,1.0,5.0,5.0,0.0,1.0,0.91,0.74,0.0,0.0,2,0,-1
2021-2022,https://www.flashscore.fr/match/zytQKZNI/#/resume-du-match,2,3,0.62,0.38,3.0,7.0,2.0,2.0,1.0,4.0,0.0,1.0,3.0,0.0,1.0,1.0,7.0,2.0,0.0,1.0,2.0,6.0,0.0,1.0,0.85,0.8,0.0,0.0,1,1,1
2021-2022,https://www.flashscore.fr/match/ERvUJgwP/#/resume-du-match,2,1,0.38,0.62,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,2.0,5.0,1.0,0.0,4.0,2.0,0.0,0.0,0.75,0.84,0.0,0.0,2,1,-1
2021-2022,https://www.flashscore.fr/match/8neur6PE/#/resume-du-match,1,2,0.48,0.52,6.0,9.0,2.0,7.0,4.0,1.0,0.0,1.0,6.0,4.0,5.0,1.0,4.0,4.0,0.0,0.0,4.0,4.0,3.0,1.0,0.87,0.85,0.0,0.0,1,2,1
2021-2022,https://www.flashscore.fr/match/v9nHMeg6/#/resume-du-match,2,1,0.67,0.33,7.0,1.0,0.0,0.0,4.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,6.0,3.0,0.0,2.0,3.0,4.0,1.0,0.0,0.9,0.78,0.0,0.0,0,0,-1
2021-2022,https://www.flashscore.fr/match/2sYBrwGP/#/resume-du-match,1,1,0.36,0.64,4.0,4.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,4.0,0.0,1.0,9.0,9.0,2.0,0.0,7.0,9.0,0.0,1.0,0.69,0.84,0.0,0.0,0,0,0
2021-2022,https://www.flashscore.fr/match/pnmDNyv0/#/resume-du-match,1,1,0.59,0.41,13.0,3.0,5.0,2.0,4.0,0.0,4.0,1.0,8.0,1.0,1.0,5.0,4.0,6.0,1.0,0.0,5.0,4.0,1.0,0.0,0.86,0.78,0.0,0.0,0,1,0
2021-2022,https://www.flashscore.fr/match/6el9OHOg/#/resume-du-match,0,0,0.61,0.39,5.0,6.0,0.0,3.0,2.0,1.0,3.0,2.0,4.0,2.0,3.0,0.0,6.0,4.0,0.0,0.0,4.0,6.0,0.0,0.0,0.82,0.83,0.0,0.0,0,0,0
2021-2022,https://www.flashscore.fr/match/vZHCPc9m/#/resume-du-match,1,1,0.52,0.48,2.0,8.0,1.0,2.0,1.0,3.0,0.0,3.0,0.0,4.0,1.0,0.0,7.0,10.0,1.0,1.0,9.0,6.0,0.0,0.0,0.85,0.81,1.0,0.0,1,1,0
2021-2022,https://www.flashscore.fr/match/0rJ8Qwfs/#/resume-du-match,6,1,0.59,0.41,5.0,5.0,4.0,0.0,1.0,3.0,0.0,2.0,2.0,2.0,0.0,1.0,7.0,8.0,4.0,0.0,4.0,6.0,0.0,0.0,0.85,0.73,0.0,0.0,3,0,-1
2021-2022,https://www.flashscore.fr/match/hCjLLF8C/#/resume-du-match,2,1,0.47,0.53,7.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,6.0,11.0,4.0,1.0,7.0,6.0,2.0,1.0,0.92,0.93,0.0,0.0,2,1,-1
2021-2022,https://www.flashscore.fr/match/dlXRTfGu/#/resume-du-match,0,1,0.44,0.56,7.0,2.0,2.0,0.0,2.0,2.0,3.0,0.0,2.0,2.0,0.0,2.0,11.0,7.0,0.0,1.0,5.0,7.0,1.0,1.0,0.83,0.86,0.0,0.0,0,0,1
2021-2022,https://www.flashscore.fr/match/Mi47XC7O/#/resume-du-match,2,1,0.36,0.64,4.0,8.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,10.0,11.0,2.0,1.0,6.0,6.0,0.0,0.0,0.77,0.88,0.0,0.0,1,0,-1
2021-2022,https://www.flashscore.fr/match/SU43YhhI/#/resume-du-match,1,0,0.52,0.48,10.0,4.0,5.0,0.0,1.0,3.0,4.0,1.0,3.0,3.0,0.0,4.0,9.0,9.0,1.0,1.0,7.0,5.0,1.0,1.0,0.76,0.78,0.0,0.0,1,0,-1
2021-2022,https://www.flashscore.fr/match/W2BfzFN5/#/resume-du-match,1,0,0.43,0.57,7.0,10.0,2.0,3.0,1.0,5.0,4.0,2.0,5.0,5.0,3.0,2.0,10.0,13.0,1.0,0.0,7.0,7.0,1.0,1.0,0.7,0.76,0.0,0.0,0,0,-1
2021-2022,https://www.flashscore.fr/match/nF9rwHwm/#/resume-du-match,2,2,0.47,0.53,5.0,3.0,4.0,1.0,1.0,2.0,0.0,0.0,4.0,2.0,0.0,2.0,11.0,12.0,3.0,0.0,8.0,8.0,2.0,1.0,0.81,0.78,0.0,0.0,2,1,0
2021-2022,https://www.flashscore.fr/match/ze8BWWMU/#/resume-du-match,2,1,0.35,0.65,3.0,6.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,4.0,1.0,0.0,10.0,12.0,0.0,1.0,8.0,5.0,0.0,0.0,0.76,0.88,0.0,0.0,1,0,-1
2021-2022,https://www.flashscore.fr/match/lv6aZYxC/#/resume-du-match,3,2,0.82,0.18,9.0,2.0,2.0,2.0,5.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,10.0,6.0,1.0,1.0,4.0,6.0,1.0,2.0,0.94,0.65,0.0,0.0,1,2,-1
2021-2022,https://www.flashscore.fr/match/hCCjye8a/#/resume-du-match,2,0,0.55,0.45,7.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,4.0,0.0,1.0,1.0,5.0,5.0,1.0,0.0,3.0,4.0,0.0,0.0,0.86,0.83,0.0,0.0,1,0,-1
2021-2022,https://www.flashscore.fr/match/bkDnxygg/#/resume-du-match,2,1,0.33,0.67,4.0,7.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,16.0,1.0,1.0,10.0,7.0,1.0,1.0,0.74,0.88,0.0,0.0,1,0,-1
2021-2022,https://www.flashscore.fr/match/4jKwvcOt/#/resume-du-match,0,3,0.4,0.6,4.0,5.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,5.0,3.0,0.0,0.0,2.0,4.0,0.0,1.0,0.9,0.02,0.0,0.0,0,2,1
2021-2022,https://www.flashscore.fr/match/MeUwRh0b/#/resume-du-match,5,2,0.5,0.5,9.0,7.0,3.0,5.0,1.0,1.0,5.0,1.0,4.0,1.0,3.0,1.0,7.0,5.0,1.0,0.0,5.0,7.0,0.0,2.0,0.85,0.86,0.0,0.0,2,2,-1
2021-2022,https://www.flashscore.fr/match/OOj9tYao/#/resume-du-match,1,4,0.52,0.48,4.0,6.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,9.0,1.0,1.0,8.0,10.0,1.0,2.0,0.82,0.82,0.0,0.0,1,2,1
2021-2022,https://www.flashscore.fr/match/jyMfNAaN/#/resume-du-match,1,1,0.64,0.36,9.0,5.0,2.0,2.0,5.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,7.0,7.0,0.0,1.0,7.0,6.0,0.0,1.0,0.89,0.87,0.0,0.0,0,0,0
2021-2022,https://www.flashscore.fr/match/AL2RHlNp/#/resume-du-match,5,0,0.71,0.29,5.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,11.0,9.0,1.0,1.0,5.0,6.0,1.0,0.0,0.92,0.78,0.0,0.0,2,0,-1
2021-2022,https://www.flashscore.fr/match/CpNjOjpH/#/resume-du-match,1,0,0.65,0.35,8.0,3.0,1.0,1.0,6.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,8.0,8.0,0.0,3.0,7.0,5.0,0.0,0.0,0.87,0.74,0.0,0.0,0,0,-1
2021-2022,https://www.flashscore.fr/match/INNnPWUA/#/resume-du-match,5,3,0.6,0.4,4.0,4.0,0.0,2.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,12.0,6.0,1.0,1.0,5.0,11.0,0.0,1.0,0.83,0.71,0.0,0.0,0,2,-1
2021-2022,https://www.flashscore.fr/match/4KJrQCF4/#/resume-du-match,0,1,0.61,0.39,5.0,9.0,0.0,2.0,4.0,5.0,1.0,2.0,1.0,1.0,1.0,0.0,10.0,8.0,0.0,2.0,8.0,8.0,3.0,0.0,0.82,0.69,0.0,0.0,0,1,1
2021-2022,https://www.flashscore.fr/match/zuWVSEVo/#/resume-du-match,2,2,0.4,0.6,3.0,6.0,0.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,8.0,5.0,0.0,0.0,5.0,7.0,0.0,2.0,0.73,0.84,0.0,0.0,0,2,0
2021-2022,https://www.flashscore.fr/match/r5VZRYph/#/resume-du-match,1,0,0.48,0.52,5.0,6.0,1.0,1.0,3.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,7.0,13.0,4.0,0.0,9.0,7.0,1.0,1.0,0.79,0.74,0.0,0.0,0,0,-1
2021-2022,https://www.flashscore.fr/match/8CGaMUET/#/resume-du-match,0,1,0.26,0.74,5.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,8.0,6.0,0.0,2.0,6.0,6.0,1.0,1.0,0.69,0.89,0.0,0.0,0,0,1
2021-2022,https://www.flashscore.fr/match/rmt8UR6j/#/resume-du-match,3,3,0.44,0.56,4.0,6.0,1.0,3.0,3.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,4.0,14.0,1.0,1.0,9.0,3.0,2.0,0.0,0.83,0.91,0.0,0.0,1,1,0
2021-2022,https://www.flashscore.fr/match/rPcLwWq4/#/resume-du-match,2,2,0.56,0.44,10.0,7.0,0.0,4.0,7.0,3.0,3.0,0.0,2.0,4.0,2.0,0.0,4.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.85,0.78,1.0,0.0,0,2,0
2021-2022,https://www.flashscore.fr/match/4ds4V7ip/#/resume-du-match,2,0,0.79,0.21,4.0,3.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,6.0,7.0,1.0,0.0,6.0,5.0,0.0,0.0,0.9,0.53,0.0,0.0,1,0,-1
2021-2022,https://www.flashscore.fr/match/runqgBqi/#/resume-du-match,3,0,0.35,0.65,2.0,5.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,9.0,4.0,1.0,0.0,2.0,8.0,0.0,0.0,0.7,0.87,0.0,0.0,1,0,-1
2021-2022,https://www.flashscore.fr/match/nHfxzlqT/#/resume-du-match,2,2,0.45,0.55,6.0,8.0,2.0,2.0,2.0,3.0,2.0,3.0,7.0,0.0,1.0,2.0,7.0,7.0,3.0,0.0,5.0,7.0,1.0,0.0,0.81,0.83,0.0,0.0,0,1,0
2021-2022,https://www.flashscore.fr/match/YDjYzUTM/#/resume-du-match,2,0,0.45,0.55,8.0,5.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,7.0,8.0,2.0,1.0,6.0,6.0,1.0,1.0,0.81,0.85,0.0,0.0,1,0,-1
2021-2022,https://www.flashscore.fr/match/Cb2PxjaA/#/resume-du-match,1,2,0.47,0.53,10.0,4.0,5.0,1.0,2.0,1.0,3.0,2.0,4.0,2.0,0.0,4.0,8.0,6.0,0.0,1.0,6.0,7.0,1.0,0.0,0.78,0.86,0.0,0.0,1,1,1
2021-2022,https://www.flashscore.fr/match/4YbHvCUc/#/resume-du-match,2,0,0.48,0.52,3.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,11.0,5.0,0.0,2.0,5.0,9.0,1.0,2.0,0.86,0.86,1.0,0.0,0,0,-1
2021-2022,https://www.flashscore.fr/match/M99CuhFi/#/resume-du-match,0,1,0.44,0.56,3.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,10.0,6.0,1.0,1.0,5.0,9.0,1.0,1.0,0.76,0.82,0.0,0.0,0,0,1
2021-2022,https://www.flashscore.fr/match/jk1TyAEG/#/resume-du-match,0,3,0.57,0.43,5.0,3.0,0.0,0.0,4.0,3.0,1.0,0.0,2.0,3.0,0.0,0.0,9.0,3.0,0.0,1.0,3.0,8.0,0.0,0.0,0.85,0.81,0.0,0.0,0,0,1
2021-2022,https://www.flashscore.fr/match/CKw0kTrG/#/resume-du-match,1,2,0.49,0.51,7.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,0.0,2.0,5.0,7.0,2.0,1.0,5.0,4.0,1.0,0.0,0.74,0.77,0.0,0.0,0,1,1
2021-2022,https://www.flashscore.fr/match/GhpiikE3/#/resume-du-match,0,1,0.45,0.55,5.0,5.0,1.0,2.0,1.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,10.0,2.0,0.0,2.0,2.0,8.0,0.0,0.0,0.79,0.82,0.0,0.0,0,0,1
2021-2022,https://www.flashscore.fr/match/IJ5XWKSl/#/resume-du-match,3,2,0.31,0.69,7.0,9.0,3.0,1.0,3.0,4.0,1.0,4.0,2.0,3.0,0.0,1.0,3.0,9.0,1.0,0.0,8.0,3.0,0.0,0.0,0.68,0.84,0.0,0.0,2,1,-1
2021-2022,https://www.flashscore.fr/match/4CoSh2k8/#/resume-du-match,1,2,0.31,0.69,3.0,14.0,1.0,3.0,2.0,6.0,0.0,5.0,1.0,5.0,3.0,0.0,2.0,6.0,0.0,0.0,6.0,2.0,0.0,0.0,0.78,0.91,0.0,0.0,1,0,1
2021-2022,https://www.flashscore.fr/match/Uelej9T9/#/resume-du-match,2,1,0.49,0.51,7.0,6.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,0.0,1.0,1.0,7.0,5.0,1.0,0.0,4.0,7.0,1.0,1.0,0.78,0.79,0.0,0.0,1,1,-1
2021-2022,https://www.flashscore.fr/match/MVpmhVbc/#/resume-du-match,4,1,0.35,0.65,4.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,7.0,8.0,0.0,1.0,8.0,6.0,0.0,0.0,0.72,0.86,0.0,0.0,2,0,-1
2021-2022,https://www.flashscore.fr/match/lp1TX0Dr/#/resume-du-match,0,3,0.27,0.73,5.0,5.0,0.0,3.0,3.0,0.0,2.0,2.0,1.0,8.0,2.0,0.0,4.0,11.0,1.0,0.0,10.0,4.0,0.0,0.0,0.82,0.9,0.0,0.0,0,1,1
2021-2022,https://www.flashscore.fr/match/j9cpUIC7/#/resume-du-match,2,2,0.63,0.37,8.0,6.0,5.0,1.0,3.0,2.0,0.0,3.0,3.0,3.0,0.0,3.0,11.0,7.0,1.0,0.0,6.0,12.0,0.0,0.0,0.92,0.85,0.0,0.0,2,1,0
2021-2022,https://www.flashscore.fr/match/vZgtVbc1/#/resume-du-match,4,2,0.68,0.32,5.0,6.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,7.0,10.0,3.0,0.0,5.0,6.0,1.0,1.0,0.83,0.7,0.0,0.0,0,2,-1
2021-2022,https://www.flashscore.fr/match/dA4yWvre/#/resume-du-match,2,1,0.37,0.63,4.0,8.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,0.0,4.0,5.0,0.0,0.0,5.0,3.0,0.0,0.0,0.82,0.89,0.0,0.0,1,1,-1
2021-2022,https://www.flashscore.fr/match/6aA95uZD/#/resume-du-match,1,3,0.49,0.51,4.0,8.0,1.0,5.0,2.0,1.0,1.0,2.0,0.0,6.0,3.0,0.0,6.0,4.0,0.0,1.0,4.0,5.0,1.0,1.0,0.84,0.9,0.0,0.0,1,2,1
2021-2022,https://www.flashscore.fr/match/4fWQtddD/#/resume-du-match,1,0,0.58,0.42,9.0,4.0,5.0,3.0,2.0,1.0,2.0,0.0,2.0,1.0,3.0,4.0,4.0,9.0,1.0,0.0,8.0,4.0,1.0,1.0,0.84,0.81,0.0,0.0,1,0,-1
