saison,href,score_equipe_home,score_equipe_away,Possession_de_balle_home,Possession_de_balle_away,Tirs_au_but_home,Tirs_au_but_away,Tirs_cadrés_home,Tirs_cadrés_away,Tirs_non_cadrés_home,Tirs_non_cadrés_away,Tirs_bloqués_home,Tirs_bloqués_away,Corners_home,Corners_away,Sauvetages_du_gardien_home,Sauvetages_du_gardien_away,Coup_francs_home,Coup_francs_away,Hors-jeu_home,Hors-jeu_away,Fautes_home,Fautes_away,Cartons_Jaunes_home,Cartons_Jaunes_away,Passes_home,Passes_away,Cartons_Rouges_home,Cartons_Rouges_away,score_mi_temps_home,score_mi_temps_away,resultat
2024-2025,https://www.flashscore.fr/match/lYpTkOLs/#/resume-du-match,1,0,0.7,0.3,12.0,1.0,2.0,0.0,4.0,1.0,6.0,0.0,10.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,6.0,3.0,1.0,1.0,0.89,0.78,0.0,0.0,0,0,-1
2024-2025,https://www.flashscore.fr/match/p0vxl2jf/#/resume-du-match,4,2,0.42,0.58,9.0,13.0,6.0,3.0,2.0,4.0,1.0,6.0,0.0,2.0,2.0,4.0,6.0,6.0,0.0,0.0,6.0,6.0,1.0,2.0,0.77,0.84,0.0,0.0,2,1,-1
2024-2025,https://www.flashscore.fr/match/hQspntL6/#/resume-du-match,1,2,0.6,0.4,6.0,6.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,2.0,1.0,2.0,6.0,5.0,1.0,0.0,5.0,6.0,0.0,1.0,0.84,0.72,0.0,0.0,1,2,1
2024-2025,https://www.flashscore.fr/match/vaZNtoqR/#/resume-du-match,0,2,0.63,0.37,7.0,2.0,3.0,1.0,1.0,1.0,3.0,0.0,4.0,0.0,1.0,3.0,8.0,8.0,3.0,0.0,8.0,8.0,1.0,1.0,0.77,0.7,0.0,0.0,0,0,1
2024-2025,https://www.flashscore.fr/match/WdE2Z2y1/#/resume-du-match,2,2,0.64,0.36,6.0,3.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,0.0,0.0,2.0,7.0,6.0,1.0,2.0,6.0,7.0,0.0,2.0,0.87,0.78,0.0,0.0,1,0,0
2024-2025,https://www.flashscore.fr/match/h2acepbK/#/resume-du-match,3,1,0.56,0.44,5.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,2.0,7.0,9.0,0.0,1.0,9.0,7.0,1.0,0.0,0.85,0.77,0.0,0.0,1,0,-1
2024-2025,https://www.flashscore.fr/match/KdJMr7EE/#/resume-du-match,2,1,0.31,0.69,4.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0,7.0,5.0,0.0,1.0,5.0,7.0,1.0,4.0,0.73,0.85,0.0,1.0,1,1,-1
2024-2025,https://www.flashscore.fr/match/vNHAXt6D/#/resume-du-match,0,3,0.57,0.43,5.0,7.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,9.0,4.0,0.0,1.0,4.0,9.0,1.0,0.0,0.84,0.82,0.0,0.0,0,3,1
2024-2025,https://www.flashscore.fr/match/AsQgyP6l/#/resume-du-match,0,3,0.27,0.73,2.0,6.0,1.0,4.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,1.0,0.0,0.8,0.94,1.0,0.0,0,3,1
2024-2025,https://www.flashscore.fr/match/0ljCkFRb/#/resume-du-match,0,1,0.6,0.4,3.0,7.0,0.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,7.0,8.0,0.0,1.0,8.0,7.0,1.0,0.0,0.85,0.81,0.0,0.0,0,1,1
2024-2025,https://www.flashscore.fr/match/bqYbtBlo/#/resume-du-match,1,1,0.55,0.45,11.0,3.0,2.0,0.0,6.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,8.0,3.0,1.0,0.0,3.0,8.0,1.0,1.0,0.9,0.79,0.0,0.0,1,0,0
2024-2025,https://www.flashscore.fr/match/rX720WuH/#/resume-du-match,1,0,0.66,0.34,11.0,6.0,5.0,2.0,4.0,1.0,2.0,3.0,4.0,2.0,2.0,4.0,10.0,0.0,1.0,2.0,0.0,10.0,0.0,2.0,0.88,0.76,0.0,0.0,1,0,-1
2024-2025,https://www.flashscore.fr/match/n5Eg2hB4/#/resume-du-match,0,1,0.52,0.48,5.0,11.0,2.0,3.0,3.0,7.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,0.0,3.0,4.0,2.0,0.0,0.0,0.83,0.86,0.0,0.0,0,1,1
2024-2025,https://www.flashscore.fr/match/vuBo4Eth/#/resume-du-match,2,0,0.34,0.66,5.0,5.0,0.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,5.0,1.0,0.0,5.0,2.0,1.0,1.0,0.86,0.93,0.0,0.0,0,0,-1
2024-2025,https://www.flashscore.fr/match/4Md3iycn/#/resume-du-match,1,0,0.48,0.52,5.0,7.0,4.0,2.0,1.0,1.0,0.0,4.0,1.0,5.0,2.0,4.0,7.0,8.0,0.0,2.0,8.0,7.0,0.0,0.0,0.81,0.83,0.0,0.0,0,0,-1
2024-2025,https://www.flashscore.fr/match/Y1lKmgdB/#/resume-du-match,1,0,0.53,0.47,5.0,7.0,1.0,0.0,3.0,3.0,1.0,4.0,1.0,3.0,0.0,1.0,6.0,4.0,2.0,0.0,4.0,6.0,1.0,1.0,0.88,0.83,0.0,0.0,0,0,-1
2024-2025,https://www.flashscore.fr/match/EuWhpKkJ/#/resume-du-match,4,0,0.37,0.63,7.0,3.0,3.0,2.0,4.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,7.0,6.0,2.0,1.0,6.0,7.0,0.0,1.0,0.81,0.87,0.0,0.0,2,0,-1
2024-2025,https://www.flashscore.fr/match/UTsToXQN/#/resume-du-match,1,2,0.21,0.79,3.0,5.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,5.0,1.0,1.0,4.0,9.0,0.0,1.0,9.0,4.0,0.0,0.0,0.78,0.94,0.0,0.0,1,1,1
2024-2025,https://www.flashscore.fr/match/Gp6AbAAT/#/resume-du-match,1,3,0.75,0.25,9.0,7.0,3.0,5.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,7.0,5.0,2.0,2.0,5.0,7.0,0.0,0.0,0.91,0.66,0.0,0.0,0,3,1
2024-2025,https://www.flashscore.fr/match/figxD9PM/#/resume-du-match,1,3,0.42,0.58,5.0,6.0,2.0,2.0,3.0,3.0,0.0,1.0,0.0,2.0,2.0,1.0,13.0,7.0,1.0,1.0,7.0,13.0,1.0,2.0,0.83,0.84,0.0,0.0,1,0,1
2024-2025,https://www.flashscore.fr/match/bJl87mmp/#/resume-du-match,3,2,0.62,0.38,6.0,4.0,1.0,1.0,3.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,7.0,8.0,1.0,1.0,8.0,7.0,2.0,0.0,0.83,0.79,0.0,0.0,1,1,-1
2024-2025,https://www.flashscore.fr/match/dYK8BH5F/#/resume-du-match,2,4,0.27,0.73,5.0,12.0,0.0,7.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,7.0,1.0,0.0,0.0,1.0,7.0,0.0,1.0,0.8,0.93,0.0,0.0,0,4,1
2024-2025,https://www.flashscore.fr/match/l8H0Dwy3/#/resume-du-match,2,2,0.32,0.68,4.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,0.0,1.0,1.0,3.0,2.0,2.0,0.0,2.0,3.0,1.0,0.0,0.77,0.9,0.0,0.0,0,1,0
2024-2025,https://www.flashscore.fr/match/WWnG5RHd/#/resume-du-match,0,2,0.62,0.38,3.0,6.0,1.0,2.0,1.0,4.0,1.0,0.0,3.0,2.0,0.0,1.0,6.0,9.0,1.0,1.0,9.0,6.0,3.0,0.0,0.86,0.74,0.0,0.0,0,2,1
2024-2025,https://www.flashscore.fr/match/QB1LGiQc/#/resume-du-match,3,1,0.38,0.62,9.0,8.0,4.0,1.0,2.0,6.0,3.0,1.0,3.0,3.0,1.0,2.0,5.0,6.0,3.0,0.0,6.0,5.0,1.0,1.0,0.76,0.87,0.0,0.0,2,0,-1
2024-2025,https://www.flashscore.fr/match/nRkUEVfA/#/resume-du-match,0,3,0.58,0.42,6.0,9.0,2.0,4.0,2.0,3.0,2.0,2.0,6.0,1.0,2.0,2.0,9.0,6.0,0.0,1.0,6.0,9.0,1.0,3.0,0.85,0.82,0.0,0.0,0,2,1
2024-2025,https://www.flashscore.fr/match/b59ZhlYj/#/resume-du-match,1,0,0.62,0.38,13.0,2.0,5.0,1.0,2.0,1.0,6.0,0.0,4.0,2.0,1.0,4.0,6.0,7.0,0.0,0.0,7.0,6.0,1.0,2.0,0.87,0.78,0.0,0.0,1,0,-1
2024-2025,https://www.flashscore.fr/match/xdpX3Q36/#/resume-du-match,3,2,0.64,0.36,4.0,5.0,2.0,0.0,2.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0,6.0,4.0,1.0,1.0,4.0,6.0,0.0,1.0,0.85,0.74,0.0,0.0,2,0,-1
2024-2025,https://www.flashscore.fr/match/Im9H9ezS/#/resume-du-match,3,0,0.76,0.24,7.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5.0,7.0,0.0,0.0,7.0,5.0,1.0,1.0,0.9,0.7,0.0,0.0,1,0,-1
